Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,block_header.sync_1,block_header.sync_2,block_header.crc,block_header.id,block_header.revision,block_header.length,block_header.tow,block_header.wnc,gnss_mode,error,info,gnss_age,latitude,longitude,height,undulation,accuracy,latency,datum,sb_list,latitude_std_dev,longitude_std_dev,height_std_dev,latitude_longitude_cov,latitude_height_cov,longitude_height_cov,heading,pitch,roll,heading_std_dev,pitch_std_dev,roll_std_dev,heading_pitch_cov,heading_roll_cov,pitch_roll_cov,ve,vn,vu,ve_std_dev,vn_std_dev,vu_std_dev,ve_vn_cov,ve_vu_cov,vn_vu_cov
1746932260.4592073,42454,1746932260,458827456,base_link,36,64,15433,4226,0,116,10678420,2366,4,0,200,42,0.6997504726309657,-1.5399987302085856,200.78724396493948,-33.91796112060547,3,80,0,31,0.007496085949242115,0.007248125039041042,0.008867690339684486,-20000000000.0,-20000000000.0,-20000000000.0,270.1014404296875,-1.8632160425186157,-1.9662021398544312,0.5977106094360352,0.09847899526357651,0.0992463007569313,-20000000000.0,-20000000000.0,-20000000000.0,-0.0005441064131446183,-0.0008695641881786287,0.0011834767647087574,0.007777804508805275,0.007796479854732752,0.007070890162140131,-20000000000.0,-20000000000.0,-20000000000.0
1746932260.4689589,42455,1746932260,468750634,base_link,36,64,62746,4226,0,116,10678430,2366,4,0,200,43,0.699750472630216,-1.5399987302098543,200.78725475177148,-33.91796112060547,3,79,0,31,0.007668572477996349,0.007423550821840763,0.008997580036520958,-20000000000.0,-20000000000.0,-20000000000.0,270.1013488769531,-1.8632886409759521,-1.9655303955078125,0.5977371335029602,0.0986412987112999,0.09940744191408157,-20000000000.0,-20000000000.0,-20000000000.0,-0.000578637991566211,-0.0014524392317980528,0.00042205449426546693,0.007869962602853775,0.007888524793088436,0.007138670422136784,-20000000000.0,-20000000000.0,-20000000000.0
1746932260.4791217,42456,1746932260,478765828,base_link,36,64,12476,4226,0,116,10678440,2366,4,0,200,44,0.6997504726271904,-1.5399987302110167,200.78726632491666,-33.91796112060547,3,80,0,31,0.007844200357794762,0.007602046709507704,0.009130068123340607,-20000000000.0,-20000000000.0,-20000000000.0,270.1019592285156,-1.863387107849121,-1.9652940034866333,0.59776371717453,0.09880335628986359,0.09956834465265274,-20000000000.0,-20000000000.0,-20000000000.0,-0.00047063585952855647,-0.001647055265493691,0.0008408389985561371,0.007961696945130825,0.00798015110194683,0.007205816451460123,-20000000000.0,-20000000000.0,-20000000000.0
1746932260.4889457,42457,1746932260,488652411,base_link,36,64,63058,4226,0,116,10678450,2366,4,0,200,45,0.6997504726271465,-1.539998730212131,200.78727312751994,-33.91796112060547,3,78,0,31,0.008022933267056942,0.007783577311784029,0.009265128523111343,-20000000000.0,-20000000000.0,-20000000000.0,270.1017150878906,-1.8632471561431885,-1.965053915977478,0.5977902412414551,0.09896516054868698,0.09972899407148361,-20000000000.0,-20000000000.0,-20000000000.0,-0.0006158485193736851,2.4097464120131917e-05,-0.00045487217721529305,0.008053064346313477,0.00807141326367855,0.0072723450139164925,-20000000000.0,-20000000000.0,-20000000000.0
1746932260.4990494,42458,1746932260,498610562,base_link,36,64,60566,4226,0,116,10678460,2366,4,0,200,46,0.6997504726277411,-1.539998730213053,200.78729282212922,-33.91796112060547,3,78,0,31,0.00820473488420248,0.007968106307089329,0.009402730502188206,-20000000000.0,-20000000000.0,-20000000000.0,270.10125732421875,-1.8636760711669922,-1.9649454355239868,0.5978167653083801,0.09912671893835068,0.09988940507173538,-20000000000.0,-20000000000.0,-20000000000.0,-0.00033300224458798766,-0.0010215501533821225,0.002068090485408902,0.008144012652337551,0.008162259124219418,0.007338272873312235,-20000000000.0,-20000000000.0,-20000000000.0
1746932260.5088098,42459,1746932260,508643428,base_link,36,64,5281,4226,0,116,10678470,2366,4,0,200,47,0.699750472626568,-1.5399987302138385,200.78731479332174,-33.91796112060547,3,81,0,31,0.008389570750296116,0.008155599236488342,0.00954284518957138,-20000000000.0,-20000000000.0,-20000000000.0,270.101318359375,-1.8641947507858276,-1.9644838571548462,0.59784334897995,0.09928801655769348,0.10004956275224686,-20000000000.0,-20000000000.0,-20000000000.0,-0.0003247486602049321,0.0004046842223033309,0.002425258280709386,0.008234617300331593,0.008252765983343124,0.007403616793453693,-20000000000.0,-20000000000.0,-20000000000.0
1746932260.518844,42460,1746932260,518522342,base_link,36,64,19223,4226,0,116,10678480,2366,4,0,200,48,0.6997504726259103,-1.5399987302147344,200.7873223114732,-33.91796112060547,3,80,0,31,0.008577407337725163,0.008346023969352245,0.009685443714261055,-20000000000.0,-20000000000.0,-20000000000.0,270.1011047363281,-1.8640086650848389,-1.963883399963379,0.5978699326515198,0.09944906830787659,0.10020948201417923,-20000000000.0,-20000000000.0,-20000000000.0,-0.00035028287675231695,-0.0008410944719798863,0.0010817900765687227,0.00832486804574728,0.008342920802533627,0.0074683912098407745,-20000000000.0,-20000000000.0,-20000000000.0
1746932260.5292325,42461,1746932260,528979521,base_link,36,64,23863,4226,0,116,10678490,2366,4,0,200,49,0.6997504726268248,-1.5399987302155251,200.78733112320873,-33.91796112060547,3,81,0,31,0.008768212050199509,0.008539347909390926,0.009830497205257416,-20000000000.0,-20000000000.0,-20000000000.0,270.1004333496094,-1.8638707399368286,-1.9633606672286987,0.5978965163230896,0.09960988163948059,0.1003691554069519,-20000000000.0,-20000000000.0,-20000000000.0,-0.00029625004390254617,7.57139569032006e-05,0.00022807455388829112,0.008414768613874912,0.008432730101048946,0.0075326114892959595,-20000000000.0,-20000000000.0,-20000000000.0
1746932260.5390363,42462,1746932260,538816727,base_link,36,64,2735,4226,0,116,10678500,2366,4,0,200,50,0.6997504726266256,-1.5399987302159648,200.78735374264804,-33.91796112060547,3,81,0,31,0.008961955085396767,0.008735542185604572,0.0099779749289155,-20000000000.0,-20000000000.0,-20000000000.0,270.1000671386719,-1.8643718957901,-1.9629799127578735,0.5979230999946594,0.0997704342007637,0.10052859038114548,-20000000000.0,-20000000000.0,-20000000000.0,-5.5641216022195294e-05,-0.00037596383481286466,0.003080494236201048,0.008504332974553108,0.00852220505475998,0.007596291601657867,-20000000000.0,-20000000000.0,-20000000000.0
1746932260.5495765,42463,1746932260,548952813,base_link,36,64,38368,4226,0,116,10678510,2366,4,0,200,51,0.6997504726232326,-1.5399987302163964,200.7873676940524,-33.91796112060547,3,81,0,31,0.0091586047783494,0.008934576995670795,0.010127847082912922,-20000000000.0,-20000000000.0,-20000000000.0,270.1007385253906,-1.864450216293335,-1.9632136821746826,0.5979496836662292,0.09993074834346771,0.10068778693675995,-20000000000.0,-20000000000.0,-20000000000.0,-0.0001525083207525313,-0.001430481905117631,0.0012944069458171725,0.008593610487878323,0.008611396886408329,0.00765944505110383,-20000000000.0,-20000000000.0,-20000000000.0
