timestamp,x,y
1746584457.063,50.8776,-12.4865
1746584457.073,50.8776,-12.4865
1746584457.083,50.8777,-12.4865
1746584457.093,50.8777,-12.4865
1746584457.103,50.8777,-12.4866
1746584457.113,50.8778,-12.4866
1746584457.123,50.8778,-12.4866
1746584457.133,50.8778,-12.4866
1746584457.143,50.8779,-12.4866
1746584457.153,50.8779,-12.4867
1746584457.163,50.8780,-12.4867
1746584457.173,50.8768,-12.4864
1746584457.183,50.8768,-12.4865
1746584457.193,50.8768,-12.4865
1746584457.203,50.8768,-12.4865
1746584457.213,50.8768,-12.4865
1746584457.223,50.8769,-12.4865
1746584457.233,50.8769,-12.4865
1746584457.244,50.8769,-12.4865
1746584457.253,50.8769,-12.4866
1746584457.263,50.8769,-12.4866
1746584457.273,50.8769,-12.4866
1746584457.284,50.8770,-12.4866
1746584457.293,50.8770,-12.4866
1746584457.303,50.8770,-12.4866
1746584457.313,50.8770,-12.4867
1746584457.324,50.8770,-12.4867
1746584457.333,50.8770,-12.4867
1746584457.343,50.8771,-12.4867
1746584457.353,50.8771,-12.4867
1746584457.363,50.8771,-12.4868
1746584457.373,50.8771,-12.4868
1746584457.383,50.8771,-12.4868
1746584457.393,50.8772,-12.4868
1746584457.403,50.8772,-12.4869
1746584457.413,50.8772,-12.4869
1746584457.423,50.8772,-12.4869
1746584457.433,50.8772,-12.4869
1746584457.443,50.8772,-12.4869
1746584457.453,50.8773,-12.4869
1746584457.463,50.8773,-12.4870
1746584457.473,50.8773,-12.4870
1746584457.483,50.8773,-12.4870
1746584457.493,50.8773,-12.4870
1746584457.503,50.8774,-12.4870
1746584457.513,50.8774,-12.4871
1746584457.523,50.8774,-12.4871
1746584457.533,50.8774,-12.4871
1746584457.543,50.8774,-12.4871
1746584457.553,50.8774,-12.4871
1746584457.563,50.8774,-12.4872
1746584457.573,50.8773,-12.4872
1746584457.583,50.8771,-12.4872
1746584457.593,50.8769,-12.4873
1746584457.603,50.8767,-12.4873
1746584457.613,50.8764,-12.4873
1746584457.623,50.8760,-12.4873
1746584457.633,50.8738,-12.4872
1746584457.643,50.8734,-12.4872
1746584457.653,50.8730,-12.4872
1746584457.663,50.8726,-12.4872
1746584457.673,50.8722,-12.4872
1746584457.683,50.8718,-12.4872
1746584457.693,50.8714,-12.4873
1746584457.702,50.8711,-12.4873
1746584457.712,50.8707,-12.4873
1746584457.723,50.8703,-12.4873
1746584457.733,50.8698,-12.4873
1746584457.743,50.8693,-12.4873
1746584457.753,50.8688,-12.4873
1746584457.763,50.8682,-12.4873
1746584457.773,50.8675,-12.4873
1746584457.783,50.8668,-12.4873
