Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,block_header.sync_1,block_header.sync_2,block_header.crc,block_header.id,block_header.revision,block_header.length,block_header.tow,block_header.wnc,gnss_mode,error,info,gnss_age,latitude,longitude,height,undulation,accuracy,latency,datum,sb_list,latitude_std_dev,longitude_std_dev,height_std_dev,latitude_longitude_cov,latitude_height_cov,longitude_height_cov,heading,pitch,roll,heading_std_dev,pitch_std_dev,roll_std_dev,heading_pitch_cov,heading_roll_cov,pitch_roll_cov,ve,vn,vu,ve_std_dev,vn_std_dev,vu_std_dev,ve_vn_cov,ve_vu_cov,vn_vu_cov
1746933767.873709,193193,1746933767,873466849,base_link,36,64,19139,4226,0,116,12185810,2366,4,0,200,31,0.6997503864754155,-1.53999798009033,200.7558515153962,-33.9179573059082,2,78,0,31,0.006108383648097515,0.005432015750557184,0.007764190901070833,-20000000000.0,-20000000000.0,-20000000000.0,269.2182922363281,-1.5281428098678589,-1.9705898761749268,0.575314998626709,0.0948682501912117,0.09530173987150192,-20000000000.0,-20000000000.0,-20000000000.0,-0.0011373795568943024,-0.002543782349675894,-0.00024113427207339555,0.00672455970197916,0.006771352142095566,0.006281272042542696,-20000000000.0,-20000000000.0,-20000000000.0
1746933767.883775,193194,1746933767,883521328,base_link,36,64,20983,4226,0,116,12185820,2366,4,0,200,32,0.6997503864732386,-1.5399979800926171,200.75584372821544,-33.9179573059082,2,81,0,31,0.006240809801965952,0.005572223570197821,0.007862771861255169,-20000000000.0,-20000000000.0,-20000000000.0,269.2185974121094,-1.527877688407898,-1.9704846143722534,0.5753425359725952,0.09503599256277084,0.09546876698732376,-20000000000.0,-20000000000.0,-20000000000.0,-0.001142991241067648,-0.001675992738455534,-0.0008017661748453975,0.00682262796908617,0.006869010627269745,0.006357352249324322,-20000000000.0,-20000000000.0,-20000000000.0
1746933767.8936481,193195,1746933767,893389304,base_link,36,64,49441,4226,0,116,12185830,2366,4,0,200,33,0.6997503864719885,-1.5399979800950183,200.75584726618666,-33.9179573059082,2,80,0,31,0.0063768420368433,0.0057159787975251675,0.007964168675243855,-20000000000.0,-20000000000.0,-20000000000.0,269.2186584472656,-1.5281469821929932,-1.970941185951233,0.5753701329231262,0.0952034443616867,0.09563551843166351,-20000000000.0,-20000000000.0,-20000000000.0,-0.0013934901216998696,-0.0013614546041935682,-0.0016084761591628194,0.006920038256794214,0.0069660283625125885,0.006432533264160156,-20000000000.0,-20000000000.0,-20000000000.0
1746933767.903771,193196,1746933767,903383275,base_link,36,64,38849,4226,0,116,12185840,2366,4,0,200,34,0.6997503864708213,-1.5399979800976316,200.7558459002981,-33.9179573059082,2,80,0,31,0.006516442168504,0.005863227415829897,0.008068371564149857,-20000000000.0,-20000000000.0,-20000000000.0,269.21868896484375,-1.528191328048706,-1.9710849523544312,0.5753977298736572,0.09537062793970108,0.09580199420452118,-20000000000.0,-20000000000.0,-20000000000.0,-0.0013301338767632842,-0.0007439913460984826,-0.0009424193412996829,0.007016814313828945,0.007062426768243313,0.006506847217679024,-20000000000.0,-20000000000.0,-20000000000.0
1746933767.914277,193197,1746933767,913870678,base_link,36,64,59342,4226,0,116,12185850,2366,4,0,200,35,0.6997503864701838,-1.5399979801002999,200.75583964884532,-33.9179573059082,2,80,0,31,0.006659572012722492,0.00601391913369298,0.00817536748945713,-20000000000.0,-20000000000.0,-20000000000.0,269.2185363769531,-1.528023600578308,-1.9709486961364746,0.5754252672195435,0.09553751349449158,0.09596817940473557,-20000000000.0,-20000000000.0,-20000000000.0,-0.0013884534128010273,-0.0011989473132416606,-0.0016029546968638897,0.007112991064786911,0.007158241234719753,0.006580322049558163,-20000000000.0,-20000000000.0,-20000000000.0
1746933767.9242272,193198,1746933767,923844281,base_link,36,64,62480,4226,0,116,12185860,2366,4,0,200,36,0.6997503864686251,-1.5399979801030592,200.75583149700182,-33.9179573059082,2,79,0,31,0.006806191056966782,0.006168001797050238,0.008285139687359333,-20000000000.0,-20000000000.0,-20000000000.0,269.21856689453125,-1.5277988910675049,-1.970348834991455,0.5754528641700745,0.09570411592721939,0.09613408893346786,-20000000000.0,-20000000000.0,-20000000000.0,-0.0014049526071175933,-0.0009378225076943636,-0.0019329170463606715,0.007208556868135929,0.007253458723425865,0.006652986630797386,-20000000000.0,-20000000000.0,-20000000000.0
1746933767.9339259,193199,1746933767,933667406,base_link,36,64,2301,4226,0,116,12185870,2366,4,0,200,37,0.6997503864658539,-1.5399979801057302,200.75583124056465,-33.9179573059082,3,79,0,31,0.006956260651350021,0.006325426511466503,0.008397672325372696,-20000000000.0,-20000000000.0,-20000000000.0,269.2190246582031,-1.5279539823532104,-1.9706850051879883,0.5754804611206055,0.09587045758962631,0.09629974514245987,-20000000000.0,-20000000000.0,-20000000000.0,-0.0014185478212311864,-0.0021905486937612295,-0.0010458803735673428,0.007303562480956316,0.007348128594458103,0.006724867504090071,-20000000000.0,-20000000000.0,-20000000000.0
1746933767.9438963,193200,1746933767,943646783,base_link,36,64,36630,4226,0,116,12185880,2366,4,0,200,38,0.699750386463419,-1.5399979801086632,200.75582010613357,-33.9179573059082,3,78,0,31,0.0071097444742918015,0.006486149504780769,0.008512948639690876,-20000000000.0,-20000000000.0,-20000000000.0,269.2193908691406,-1.5276305675506592,-1.9709190130233765,0.5755080580711365,0.09603652358055115,0.0964651107788086,-20000000000.0,-20000000000.0,-20000000000.0,-0.0014274249551817775,-0.001203443156555295,-0.0012711822055280209,0.007398007437586784,0.00744225038215518,0.00679599167779088,-20000000000.0,-20000000000.0,-20000000000.0
1746933767.9539375,193201,1746933767,953537081,base_link,36,64,34187,4226,0,116,12185890,2366,4,0,200,39,0.6997503864611699,-1.5399979801115942,200.75581444467736,-33.9179573059082,3,78,0,31,0.0072665950283408165,0.006650114897638559,0.00863094162195921,-20000000000.0,-20000000000.0,-20000000000.0,269.2197265625,-1.5276340246200562,-1.970863938331604,0.5755357146263123,0.0962022915482521,0.09663020819425583,-20000000000.0,-20000000000.0,-20000000000.0,-0.0014045858988538384,-0.0011796702165156603,-0.0018438753904774785,0.007491955067962408,0.007535886485129595,0.006866376847028732,-20000000000.0,-20000000000.0,-20000000000.0
1746933767.963808,193202,1746933767,963490119,base_link,36,64,13081,4226,0,116,12185900,2366,4,0,200,40,0.6997503864607625,-1.5399979801144128,200.7558108151978,-33.9179573059082,3,78,0,31,0.007426777854561806,0.006817283574491739,0.008751633577048779,-20000000000.0,-20000000000.0,-20000000000.0,269.21954345703125,-1.5277297496795654,-1.9708081483840942,0.5755633115768433,0.09636780619621277,0.09679502993822098,-20000000000.0,-20000000000.0,-20000000000.0,-0.0014359677443280816,0.0002916487865149975,-0.001015732530504465,0.0075854831375181675,0.007629115134477615,0.0069360495544970036,-20000000000.0,-20000000000.0,-20000000000.0
